Rank,Player,Team,2021-22 Salaries ($),Pos,Age,Games,PER,TS%,TOV%,USG%,WS,WS/48,BPM,VORP,Performance,Analysis
0,Stephen Curry,GSW,45780966.0,PG,33,64,21.4,0.601,13.2,30.8,8.0,0.173,5.8,4.4,18.572399999999995,Overpaid
1,Russell Westbrook,LAL,44211146.0,PG,33,78,15.0,0.512,17.3,27.3,1.7,0.03,-1.6,0.2,5.186699999999999,Overpaid
2,James Harden,PHI,43848000.0,PG-SG,32,65,20.9,0.583,18.8,27.2,7.6,0.152,4.1,3.7,14.3385,Overpaid
3,LeBron James,LAL,41180544.0,SF,37,56,26.2,0.619,12.5,32.3,7.5,0.172,7.7,5.1,22.971000000000004,Fairly Paid
4,Kevin Durant,BRK,40918900.0,PF,33,55,25.6,0.634,12.9,31.2,8.4,0.198,7.2,4.8,23.23,Fairly Paid
5,Giannis Antetokounmpo,MIL,39344970.0,PF,27,67,32.1,0.633,12.2,34.9,12.9,0.281,11.2,7.4,32.4996,Fairly Paid
6,Jimmy Butler,MIA,36016200.0,SF,32,57,23.6,0.592,10.5,26.5,9.2,0.228,6.3,4.0,20.989699999999996,Fairly Paid
7,Tobias Harris,PHI,36000000.0,PF,29,73,15.9,0.566,9.5,21.7,5.6,0.105,0.0,1.3,10.7388,Overpaid
8,Khris Middleton,MIL,35500000.0,SF,30,66,18.1,0.577,14.2,26.7,5.3,0.119,1.6,1.9,11.7015,Overpaid
9,Rudy Gobert,UTA,35344828.0,C,29,66,24.7,0.732,14.5,16.9,11.7,0.264,4.6,3.6,26.1802,Fairly Paid
10,Blake Griffin,DET,32405817.0,PF,32,56,13.7,0.518,8.2,16.9,2.1,0.106,-0.6,0.3,6.758000000000001,Overpaid
11,Kristaps Porziņģis,WAS,31650600.0,PF,26,51,23.7,0.577,8.3,29.5,5.6,0.18,3.9,2.2,17.487599999999997,Fairly Paid
12,Devin Booker,PHO,31610000.0,SG,25,68,21.3,0.576,9.3,32.0,7.6,0.156,4.1,3.6,17.677799999999998,Fairly Paid
13,Karl-Anthony Towns,MIN,31610000.0,C,26,74,24.1,0.64,13.7,27.8,10.3,0.199,5.0,4.4,22.0314,Underpaid
14,Joel Embiid,PHI,31579390.0,C,27,68,31.2,0.616,11.3,37.2,12.0,0.252,9.2,6.5,29.626700000000003,Underpaid
15,Andrew Wiggins,GSW,31579390.0,SF,26,73,15.0,0.56,9.0,23.1,5.1,0.105,0.4,1.4,10.293000000000001,Overpaid
16,Pascal Siakam,TOR,31320000.0,PF,27,68,20.3,0.565,11.6,25.8,8.1,0.151,3.5,3.6,15.939499999999999,Fairly Paid
17,Kevin Love,CLE,31300000.0,PF,33,74,19.6,0.594,10.4,25.1,5.7,0.164,4.5,2.7,15.924999999999999,Fairly Paid
18,CJ McCollum,NOP,30864198.0,SG,30,62,18.3,0.553,9.3,27.5,3.6,0.081,1.9,2.1,11.914000000000001,Overpaid
19,Chris Paul,PHO,30800000.0,PG,36,65,20.8,0.581,15.6,19.7,9.4,0.21,5.4,4.0,16.83,Fairly Paid
20,Nikola Jokić,DEN,30510423.0,C,26,74,32.8,0.661,15.6,31.9,15.2,0.296,13.7,9.8,36.1075,Underpaid
21,Jrue Holiday,MIL,30133333.0,PG,31,67,19.8,0.593,15.0,23.5,6.9,0.15,3.2,2.9,14.5304,Fairly Paid
22,D'Angelo Russell,MIN,30013500.0,PG,25,65,16.3,0.544,13.2,25.1,4.4,0.101,0.8,1.4,9.434800000000001,Overpaid
23,Brandon Ingram,NOP,29467800.0,SF,24,55,18.7,0.554,11.8,29.3,3.9,0.099,2.0,1.9,11.554,Overpaid
24,De'Aaron Fox,SAC,28103550.0,PG,24,59,17.4,0.549,11.9,29.1,2.5,0.058,-0.6,0.7,8.6,Overpaid
25,Bam Adebayo,MIA,28103550.0,C,24,56,21.8,0.608,14.4,25.0,7.2,0.188,3.8,2.7,16.471999999999998,Underpaid
26,Donovan Mitchell,UTA,28103550.0,SG,25,67,21.6,0.572,11.7,32.9,7.2,0.152,4.3,3.6,16.6985,Underpaid
27,Jayson Tatum,BOS,28103550.0,SF,23,76,21.8,0.578,10.9,32.1,9.6,0.169,4.9,4.8,19.275899999999996,Underpaid
28,Al Horford,BOS,27000000.0,C,35,69,16.7,0.574,9.6,14.8,7.6,0.181,4.3,3.2,15.200399999999998,Underpaid
29,Kyle Lowry,MIA,26984128.0,PG,35,63,15.0,0.6,19.3,18.2,6.4,0.143,1.9,2.1,10.337799999999998,Overpaid
30,DeMar DeRozan,CHI,26000000.0,PF,32,76,23.1,0.59,9.2,31.8,8.8,0.154,2.5,3.1,18.675000000000004,Underpaid
31,Jaylen Brown,BOS,24830357.0,SF,25,66,18.9,0.574,11.6,30.5,5.8,0.124,2.1,2.2,13.281999999999998,Underpaid
32,Nikola Vučević,CHI,24000000.0,C,31,73,18.2,0.533,10.1,24.5,4.5,0.09,0.9,1.8,10.972800000000001,Fairly Paid
33,John Collins,ATL,23000000.0,PF,24,54,18.7,0.61,7.7,20.5,5.1,0.146,1.5,1.5,14.2844,Underpaid
34,Buddy Hield,IND,22477273.0,SG,29,81,12.9,0.548,11.7,22.4,1.9,0.036,-1.2,0.5,6.0771000000000015,Overpaid
35,Mike Conley,UTA,21000000.0,PG,34,72,17.2,0.572,12.5,20.9,6.7,0.157,3.1,2.7,13.275899999999998,Underpaid
36,Gary Harris,ORL,20482143.0,SG,27,61,10.9,0.571,9.3,16.4,2.2,0.06,-2.4,-0.2,5.019,Overpaid
37,Danilo Gallinari,ATL,20475000.0,PF,33,66,14.3,0.579,5.4,18.4,3.6,0.105,-0.2,0.8,9.7125,Fairly Paid
38,Harrison Barnes,SAC,20284091.0,PF,29,77,15.7,0.623,10.4,18.8,6.0,0.112,0.2,1.4,12.092699999999999,Underpaid
39,Jarrett Allen,CLE,20000000.0,C,23,56,23.0,0.698,12.7,18.1,8.5,0.225,3.9,2.7,21.7551,Underpaid
40,Julius Randle,NYK,19800000.0,PF,27,72,15.7,0.509,14.7,28.7,3.1,0.059,0.5,1.6,7.5658,Fairly Paid
41,Fred VanVleet,TOR,19675926.0,PG,27,65,17.3,0.552,12.5,23.7,6.7,0.131,3.6,3.5,13.279700000000002,Underpaid
42,Zach LaVine,CHI,19500000.0,SF,26,67,20.0,0.605,11.2,28.8,5.8,0.12,2.4,2.6,15.1844,Underpaid
43,Bojan Bogdanović,UTA,18700000.0,PF,32,69,15.7,0.599,10.2,23.7,5.2,0.118,0.0,1.1,10.934,Underpaid
44,Domantas Sabonis,SAC,18562500.0,C-PF,25,62,21.9,0.637,17.5,22.3,7.1,0.159,4.1,3.2,16.7706,Underpaid
45,Eric Gordon,HOU,18218818.0,SG,33,57,12.1,0.614,14.6,18.6,1.4,0.04,-2.3,-0.1,5.1948,Fairly Paid
46,Evan Fournier,NYK,18139535.0,SG,29,80,12.3,0.554,9.4,20.8,3.7,0.075,-0.7,0.7,7.360000000000001,Underpaid
47,Eric Bledsoe,POR,18125000.0,PG,32,54,12.5,0.514,18.3,20.5,1.3,0.047,-0.8,0.4,4.4354000000000005,Fairly Paid
48,Bogdan Bogdanović,ATL,18000000.0,SG,29,63,15.4,0.562,7.7,21.6,3.7,0.095,1.3,1.5,10.621500000000003,Underpaid
49,Terry Rozier,CHO,17905263.0,SG,27,73,17.6,0.566,7.2,23.2,5.9,0.115,1.7,2.3,13.584999999999999,Underpaid
